sollPos,sollVel
0,10
0,10
0,10
-5e-05,10
-0.0002,10
-0.00045,10
-0.0008,10
-0.00125,10
-0.0018,10
-0.00245,10
-0.0032,10
-0.00405,10
-0.005,10
-0.00605,10
-0.0072,10
-0.00845,10
-0.0098,10
-0.01125,10
-0.0128,10
-0.01445,10
-0.0162,10
-0.01805,10
-0.02,10
-0.02205,10
-0.0242,10
-0.02645,10
-0.0288,10
-0.03125,10
-0.0338,10
-0.03645,10
-0.0392,10
-0.04205,10
-0.045,10
-0.04805,10
-0.0512,10
-0.05445,10
-0.0578,10
-0.06125,10
-0.0648,10
-0.06845,10
-0.0722,10
-0.07605,10
-0.08,10
-0.08405,10
-0.0882,10
-0.09245,10
-0.0968,10
-0.10125,10
-0.1058,10
-0.11045,10
-0.1152,10
-0.12005,10
-0.125,10
-0.13005,10
-0.1352,10
-0.14045,10
-0.1458,10
-0.15125,10
-0.1568,10
-0.16245,10
-0.1682,10
-0.17405,10
-0.18,10
-0.18605,10
-0.1922,10
-0.19845,10
-0.2048,10
-0.21125,10
-0.2178,10
-0.22445,10
-0.2312,10
-0.23805,10
-0.245,10
-0.25205,10
-0.2592,10
-0.26645,10
-0.2738,10
-0.28125,10
-0.2888,10
-0.29645,10
-0.3042,10
-0.31205,10
-0.32,10
-0.32805,10
-0.3362,10
-0.34445,10
-0.3528,10
-0.36125,10
-0.3698,10
-0.37845,10
-0.3872,10
-0.39605,10
-0.405,10
-0.41405,10
-0.4232,10
-0.43245,10
-0.4418,10
-0.45125,10
-0.4608,10
-0.47045,10
-0.4802,10
-0.49005,10
-0.50005,10
-0.51005,10
-0.52005,10
-0.53005,10
-0.54005,10
-0.55005,10
-0.56005,10
-0.57005,10
-0.58005,10
-0.59005,10
-0.60005,10
-0.61005,10
-0.62005,10
-0.63005,10
-0.64005,10
-0.65005,10
-0.66005,10
-0.67005,10
-0.68005,10
-0.69005,10
-0.70005,10
-0.71005,10
-0.72005,10
-0.73005,10
-0.74005,10
-0.75005,10
-0.76005,10
-0.77005,10
-0.78005,10
-0.79005,10
-0.80005,10
-0.81005,10
-0.82005,10
-0.83005,10
-0.84005,10
-0.85005,10
-0.86005,10
-0.87005,10
-0.88005,10
-0.89005,10
-0.90005,10
-0.91005,10
-0.92005,10
-0.93005,10
-0.94005,10
-0.95005,10
-0.96005,10
-0.97005,10
-0.98005,10
-0.99005,10
-1.00005,10
-1.01005,10
-1.02005,10
-1.03005,10
-1.04005,10
-1.05005,10
-1.06005,10
-1.07005,10
-1.08005,10
-1.09005,10
-1.10005,10
-1.11005,10
-1.12005,10
-1.13005,10
-1.14005,10
-1.15005,10
-1.16005,10
-1.17005,10
-1.18005,10
-1.19005,10
-1.20005,10
-1.21005,10
-1.22005,10
-1.23005,10
-1.24005,10
-1.25005,10
-1.26005,10
-1.27005,10
-1.28005,10
-1.29005,10
-1.30005,10
-1.31005,10
-1.32005,10
-1.33005,10
-1.34005,10
-1.35005,10
-1.36005,10
-1.37005,10
